Rec,Inf,Name,Based,Club,Division,Expires,Wage,Age,Height,Personality,Preferred Foot,UID,Best Pos,Min WD,Max WD,Clean Sheets,Cln/90,Con/90,xA,xA/90,xG-OP,xG/90,Gls,Conc,Gls/90,Mins,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Tgls/90,Tcon,Tcon/90,Saves/90,xG,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,Position,Blk,Blk/90,Asts/90,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,Off,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Goals Outside Box,FK Shots,Aer A/90,Hdrs A
- -  -,Ctr,Adam Heaton,England,Shrivenham,-,-,N/A,24,"5'8""",,Unknown,225121,D (RL),N/A,N/A,-,-,-,2.75,0.07,0.63,0.01,1,-,0.02,"3,749",0.37,0.01,0,-,-,-,0,-,0.00,-,0.00,-,0.37,-,0,0,0.00,25%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.09,-,-,-,"D (R), M (C)",0,-,0.07,-,-,-,-,0.00,0,-,0,63%,840,20.17,530,12.72,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,4,0,0.00,0.00,2,0.05,50%,0.10,97%,67,65,1.56,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Loa,Liam Roberts,England (Vanarama National),Chelmsford,Vanarama National League,30/6/2027,€6 p/w,18,"5'9""",,Unknown,14252328,-,N/A,N/A,-,-,-,0.42,0.26,0.00,0.00,0,-,-,148,0.00,0.00,0,-,-,-,0,-,0.61,-,2.43,-,0.00,-,0,1,0.61,-,14%,7,4.26,1,0.61,20.4km,12.4km,3,1.82,0.00,-,-,-,M/AM (RL),1,0.61,-,6.08,1,0.61,9%,9.12,2,1.22,0,89%,54,32.84,48,29.19,28.58,0.00,12,7.30,6,3.65,4,2.43,-,-,-,-,0,0,0.00,0.00,-,-,-,-,100%,6,6,3.65,1.22,2,0.61,1,4.26,7,14%,0,0.00,0,1.22,2,0.00,0,0,6.69,11
- -  -,Ctr,Danny Whitehead,England (Vanarama National),Harrogate,Vanarama National League,-,N/A,33,"5'10""",,Right,29081311,M (C),-,-,-,-,-,2.35,0.12,0.77,0.12,3,-,0.16,"1,710",2.23,0.12,0,-,-,-,0,-,0.95,-,1.00,-,2.23,0.16,3,17,0.89,15%,14%,256,13.47,30,1.58,229.9km,12.1km,47,2.47,0.11,-,-,-,"DM, M (C), AM (R)",8,0.42,0.05,4.58,53,2.79,38%,11.74,37,1.95,4,86%,636,33.47,548,28.84,21.58,4.79,221,11.63,42,2.21,27,1.42,-,-,-,-,20,0,0.00,0.21,6,0.32,30%,1.05,82%,39,32,1.68,0.84,16,0.63,12,4.47,85,12%,0,0.05,1,1.32,25,0.11,0,0,7.37,140
- -  -,Ctr,Jake Burton,England (Northern Premier D1E),Belper,English Northern Premier League Division One East,-,N/A,25,"5'10""",,Right,29233479,ST (C),-,-,-,-,-,0.22,0.09,-1.60,1.51,2,-,0.84,214,3.60,1.51,0,-,-,-,0,-,0.00,-,0.00,-,3.60,-,0,0,0.00,13%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.24,-,-,-,ST (C),0,-,-,-,-,-,-,0.00,0,-,0,58%,120,50.47,69,29.02,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,15,0,0.00,0.00,7,2.94,47%,6.31,38%,8,3,1.26,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Inj,Harry Phipps,England (Northern Premier D1E),Stockton,English Northern Premier League Division One East,-,N/A,28,"5'11""",,Right,89054635,D (C),-,-,-,-,-,0.00,0.00,1.50,0.38,2,-,1.54,117,0.50,0.38,0,-,-,-,0,-,0.00,-,0.00,-,0.50,-,0,0,0.00,40%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.10,-,-,-,D (C),0,-,-,-,-,-,-,0.00,0,-,0,70%,120,92.31,84,64.62,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,5,0,0.00,0.00,3,2.31,60%,3.85,100%,7,7,5.38,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- - B- -,,Euan Hastings,Scotland (Lowland League),Tranent,Scottish Lowland League,31/5/2027,€40 p/w,19,"6'1""",Low Determination,Right,2000210471,D (C),-,-,-,-,-,0.86,0.03,-2.60,0.09,0,-,-,"2,573",2.60,0.09,0,-,-,-,0,-,0.77,-,1.68,-,2.60,0.10,3,55,1.92,-,13%,29,1.01,4,0.14,314.5km,11.0km,2,0.07,0.09,-,-,-,D (RC),17,0.59,-,3.08,129,4.51,59%,5.67,37,1.29,1,88%,"1,411",49.35,"1,237",43.27,8.57,8.71,113,3.95,56,1.96,117,4.09,-,-,-,-,29,24,0.84,0.10,8,0.28,28%,1.01,82%,61,50,1.75,0.70,20,0.14,4,1.01,29,14%,0,0.52,15,0.70,20,0.42,0,0,7.59,217
- - C- -,Ctr,Sam Fishburn,England (Northern Premier D1E),Grantham,English Northern Premier League Division One East,-,N/A,23,"6'4""",,Right,2000058758,ST (C),-,-,-,-,-,2.06,0.09,5.63,0.41,15,-,0.65,"2,070",9.37,0.41,0,-,-,-,0,-,0.00,-,0.00,-,9.37,-,0,0,0.00,20%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.13,-,-,-,ST (C),0,-,0.17,-,-,-,-,0.00,0,-,0,60%,460,20.00,275,11.96,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,74,0,0.00,0.00,47,2.04,64%,3.22,49%,41,20,0.87,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- - C+ -,Ama,Jonjoe Ruane,Wales (JD Cymru Premier),Caernarfon,JD Cymru Premier,-,N/A,19,"5'8""",Driven,Right,2000268543,AM (R),-,-,-,-,-,0.00,0.00,-0.12,0.07,0,-,-,163,0.12,0.07,0,-,-,-,0,-,0.00,-,0.00,-,0.12,-,0,1,0.55,-,-,6,3.31,0,0.00,24.4km,13.5km,2,1.10,0.12,-,-,-,"M/AM (R), ST (C)",0,-,-,4.97,2,1.10,18%,7.18,0,-,1,90%,49,27.06,44,24.29,17.12,0.00,14,7.73,1,0.55,0,0.00,-,-,-,-,1,0,0.00,0.00,1,0.55,100%,0.55,100%,1,1,0.55,0.00,0,0.00,0,3.31,6,0%,0,0.00,0,-,0,0.00,0,0,6.07,11
- - D -,Inj,Sam Seager,England (Hellenic Premier),Cinderford,English Hellenic League Premier Division,-,€75 p/w,20,"6'0""",,Right,2000271009,GK,-,-,9,0.27,1.54,0.00,0.00,0.00,0.00,0,51,-,"2,989",0.00,0.00,0,1,0,0%,0,-,1.08,49,1.48,2,0.00,-,0,-,8.07,-,-,-,-,-,-,145.7km,4.4km,0,-,0.00,-1.71,-0.05,86%,GK,-,-,-,-,-,-,-,0.00,0,-,0,61%,748,22.52,454,13.67,5.48,9.00,0,0.00,0,0.00,0,0.00,64%,23,51,16,0,-,-,-,-,-,-,-,0%,1,0,0.00,0.03,1,-,-,-,-,-,0,0.00,0,0.03,1,0.00,-,-,-,-
- - D -,Ctr,Alexandre Manuel,England (Northern Premier League),Darlington,English Northern Premier League Premier Division,-,N/A,19,"5'5""",Fairly Professional,Right,2002090401,M (R),-,-,-,-,-,5.34,0.16,1.24,0.05,3,-,0.09,"3,098",1.76,0.05,0,-,-,-,0,-,1.31,-,1.39,-,1.76,0.35,12,41,1.19,18%,11%,35,1.02,4,0.12,408.9km,11.9km,30,0.87,0.10,-,-,-,"M (RC), AM (R)",16,0.46,0.20,2.47,40,1.16,32%,7.03,59,1.71,3,85%,"1,500",43.58,"1,281",37.21,17.14,4.33,336,9.76,81,2.35,118,3.43,-,-,-,-,17,0,0.00,0.20,7,0.20,41%,0.49,90%,71,64,1.86,1.34,46,0.12,4,1.02,35,11%,0,0.00,0,1.34,46,0.15,0,0,3.63,125
- -  -,Ctr,Jacob Bulmer,Wales (JD Cymru Premier),Pontypridd,JD Cymru Premier,-,N/A,23,"6'1""",,Unknown,2000051304,-,N/A,N/A,7,0.92,0.79,0.00,0.00,0.00,0.00,0,6,-,687,0.00,0.00,0,0,0,-,0,-,1.83,6,0.79,1,0.00,-,0,-,7.60,-,-,-,-,-,-,49.6km,6.5km,0,-,0.00,-1.38,-0.18,92%,GK,-,-,-,-,-,-,-,0.00,0,-,0,48%,164,21.48,78,10.22,7.47,0.79,0,0.00,0,0.00,0,0.00,66%,3,8,1,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,Loa,Callum Gibbs-Brown,England (Vanarama South),Maidenhead,Vanarama National League South,30/6/2027,€6 p/w,18,"6'2""",,Unknown,2000050811,GK,N/A,N/A,0,0.00,2.14,0.00,0.00,0.00,0.00,0,2,-,84,0.00,0.00,0,0,0,-,0,-,0.00,2,2.14,4,0.00,-,0,-,7.50,-,-,-,-,-,-,9.9km,0.0km,0,-,0.00,-0.36,-0.39,87%,GK,-,-,-,-,-,-,-,0.00,0,-,0,96%,24,25.71,23,24.64,15.00,0.00,0,0.00,0,0.00,0,0.00,66%,0,2,2,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,Yth,David Salihu,England (Vanarama North),Alfreton,Vanarama National League North,30/6/2027,€6 p/w,18,"6'1""",,Unknown,2002174747,GK,N/A,N/A,1,0.19,2.65,0.00,0.00,0.00,0.00,0,14,-,475,0.00,0.00,0,2,1,50%,0,-,0.95,14,2.65,4,0.00,-,0,-,13.26,-,-,-,-,-,-,31.5km,6.0km,0,-,0.00,-2.16,-0.41,79%,GK,-,-,-,-,-,-,-,0.19,4,0.76,0,35%,133,25.20,47,8.91,17.81,5.68,0,0.00,0,0.00,10,1.89,64%,12,9,3,0,-,-,-,-,-,-,-,50%,2,1,0.19,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,Ctr,Allan Brogan,England (Vanarama North),Macclesfield,Vanarama National League North,-,N/A,18,"6'0""",,Unknown,2002143347,GK,N/A,N/A,0,0.00,2.93,0.18,0.04,0.00,0.00,0,13,-,399,0.00,0.00,0,0,0,-,0,-,0.68,13,2.93,4,0.00,-,0,-,11.28,-,-,-,-,-,-,26.2km,5.9km,0,-,0.00,-2.44,-0.55,78%,GK,-,-,-,-,-,-,-,0.00,1,0.23,0,36%,110,24.81,40,9.02,18.05,4.74,0,0.00,0,0.00,3,0.68,64%,7,11,4,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,,Logan Stretch,England (Vanarama North),Buxton,Vanarama National League North,30/6/2027,€100 p/w,20,"6'2""",,Unknown,2000280481,GK,N/A,N/A,0,0.00,2.00,0.00,0.00,0.00,0.00,0,16,-,720,0.00,0.00,0,0,0,-,0,-,2.62,16,2.00,2,0.00,-,0,-,10.00,-,-,-,-,-,-,51.4km,6.4km,0,-,0.00,-7.04,-0.88,84%,GK,-,-,-,-,-,-,-,0.50,4,0.50,0,57%,193,24.12,110,13.75,13.38,7.62,0,0.00,0,0.00,12,1.50,53%,9,4,4,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,Loa,David Coulter,England (Vanarama North),Hartlepool,Vanarama National League North,30/6/2027,€6 p/w,17,"6'5""",,Unknown,2002173579,GK,N/A,N/A,0,0.00,2.67,0.00,0.00,0.00,0.00,0,8,-,270,0.00,0.00,0,0,0,-,0,-,1.00,8,2.67,3,0.00,-,0,-,10.33,-,-,-,-,-,-,13.3km,4.4km,0,-,0.00,-3.99,-1.33,87%,GK,-,-,-,-,-,-,-,0.33,1,0.33,0,34%,61,20.33,21,7.00,13.33,4.00,0,0.00,0,0.00,2,0.67,55%,5,5,0,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,,Adam Fixter,England,Marske,-,30/6/2027,€150 p/w,19,"6'4""",,Unknown,2000130653,GK,N/A,N/A,0,0.00,4.89,0.00,0.00,0.00,0.00,0,5,-,92,0.00,0.00,0,0,0,-,0,-,0.00,5,4.89,4,0.00,-,0,-,10.76,-,-,-,-,-,-,2.4km,2.3km,0,-,0.00,-3.19,-3.12,90%,GK,-,-,-,-,-,-,-,0.00,0,-,0,77%,22,21.52,17,16.63,9.78,0.00,0,0.00,0,0.00,0,0.00,50%,2,3,0,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
