UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
29233083,Andres De Gracia,"DM, M (C)",21,"5'11""",0,325,,30/6/2025,2523,Eastbourne Borough,Vanarama National League South,1,57,87%,60.0,74.0,10.16,11.77,5.21,0.0,5.21,10.16,1.39,5.21,2.53,60.0
2000077960,Azeem Abdulai,"DM, M (C)",21,"6'1""",0,"1,900",,30/6/2025,4140,Yeovil,Vanarama National League South,1,50,89%,59.0,85.0,5.5,16.28,4.41,0.0,4.41,5.5,2.26,4.41,3.17,59.0
29217427,Aaron Skinner,"D (RLC), WB (R), DM, M (C)",22,"5'9""",0,425,,30/6/2025,3869,Hereford,Vanarama National League North,1,50,82%,58.0,81.0,11.58,14.1,4.33,0.0,4.33,11.58,2.58,4.33,3.37,58.0
94001969,Gareth Dean,D (C),34,"6'2""",0,700,,30/6/2024,4067,Brackley,Vanarama National League North,1,45,86%,57.0,80.0,7.35,10.87,4.32,0.0,4.32,7.35,1.46,4.32,4.76,57.0
29191368,James Melhado,D/WB (R),23,"6'1""",0,425,,30/6/2025,3578,Truro,Vanarama National League South,1,48,84%,57.0,76.0,14.25,10.54,4.75,0.0,4.75,14.25,2.19,4.75,3.09,57.0
28102600,Joel Taylor,D (L),28,"5'11""",0,400,,30/6/2024,3721,Chester,Vanarama National League North,1,47,82%,57.0,83.0,13.96,13.96,5.9,0.0,5.9,13.96,2.61,5.9,3.17,57.0
2000108275,Connor Pye,D (L),19,"5'6""",0,525,,30/6/2025,1916,Torquay,Vanarama National League South,1,52,85%,57.0,88.0,10.81,17.05,6.15,0.0,6.15,10.81,2.87,6.15,3.19,57.0
2000201092,Evan Humphries,D (L),18,"5'8""",0,900,,30/6/2025,1669,Weymouth,Vanarama National League South,1,50,85%,57.0,75.0,13.64,13.0,5.82,0.0,5.82,13.64,2.26,5.82,3.45,57.0
29194976,Harry Perritt,D (R),23,"6'1""",0,425,,30/6/2025,3927,Alfreton,Vanarama National League North,1,51,80%,56.0,79.0,13.4,14.44,4.7,0.0,4.7,13.4,2.15,4.7,3.92,56.0
29235372,Ethan Sephton,D (L),24,"5'11""",0,300,,30/6/2025,1960,Gloucester,Vanarama National League North,1,47,86%,56.0,84.0,11.35,12.72,5.74,0.0,5.74,11.35,2.85,5.74,3.26,56.0
52032604,Jimmy Keohane,"D/WB (RL), DM",33,"5'11""",0,925,,30/6/2024,1836,Rochdale,Vanarama National League,1,50,86%,56.0,84.0,10.05,12.55,4.66,0.0,4.66,10.05,2.4,4.66,2.35,56.0
31037585,Joel Colbran,D (R),25,"6'1""",0,0,,-,2351,Worthing,Vanarama National League South,1,50,84%,56.0,72.0,10.64,15.89,5.17,0.0,5.17,10.64,1.57,5.17,3.60,56.0
29226255,Josh Owers,"DM, M (C)",22,"6'0""",0,700,,30/6/2025,2377,Yeovil,Vanarama National League South,1,50,90%,55.0,71.0,5.64,12.0,5.0,0.0,5.0,5.64,1.78,5.0,2.20,55.0
28121648,Lucas Defise,"DM, M (C)",22,"5'10""",0,575,,30/6/2024,3843,Eastbourne Borough,Vanarama National League South,1,57,88%,55.0,74.0,8.74,15.13,5.5,0.0,5.5,8.74,1.9,5.5,2.01,55.0
29158753,Alex Brown,D/WB (L),25,"5'9""",0,575,,30/6/2025,4372,Scarborough Athletic,Vanarama National League North,1,50,85%,55.0,76.0,11.73,15.5,7.12,0.0,7.12,11.73,2.94,7.12,3.21,55.0
89061743,Elliot Forbes,"D (C), DM, M (C)",25,"6'4""",0,525,,30/6/2025,4337,Blyth,Vanarama National League North,1,64,90%,55.0,82.0,9.51,9.19,5.77,0.0,5.77,9.51,1.51,5.77,2.99,55.0
28058860,Adam Henley,D (RL),29,"5'10""",0,350,,30/6/2024,4337,Chorley,Vanarama National League North,1,59,85%,55.0,83.0,13.72,12.22,6.39,0.0,6.39,13.72,2.26,6.39,2.82,55.0
29163923,Lewis Gard,"DM, M (C)",24,"5'8""",0,550,,30/6/2025,3472,Tonbridge,Vanarama National League South,1,48,87%,54.0,71.0,12.21,9.64,4.41,0.0,4.41,12.21,1.19,4.41,2.07,54.0
29085673,Kieran Weledji,D (R),28,"6'2""",0,350,,30/6/2024,3802,Scarborough Athletic,Vanarama National League North,1,50,84%,54.0,77.0,11.72,12.81,5.26,0.0,5.26,11.72,2.27,5.26,2.86,54.0
29240108,Tom Sparrow,"DM, M (C)",21,"5'11""",0,"1,400",,30/6/2026,4059,South Shields,Vanarama National League North,1,50,91%,54.0,80.0,7.12,7.21,6.41,0.0,6.41,7.12,1.0,6.41,1.84,54.0
29236446,Alex Aoraha,"DM, M (C)",21,"6'1""",0,575,,30/6/2025,2268,Braintree,Vanarama National League South,1,50,90%,53.0,86.0,7.5,12.22,4.52,0.0,4.52,7.5,2.38,4.52,2.90,53.0
2000125523,Harry Barbrook,D (L),19,"5'11""",0,350,,30/6/2024,3168,Hemel Hempstead,Vanarama National League South,1,46,83%,53.0,84.0,12.18,14.2,6.14,0.0,6.14,12.18,2.1,6.14,2.98,53.0
2002081381,Aidan Ireland,D (R),17,"5'10""",0,180,,30/6/2025,1439,Warrington,Vanarama National League North,1,44,81%,53.0,81.0,10.55,14.01,6.07,0.0,6.07,10.55,1.63,6.07,3.06,53.0
2000044791,Ben Watt,"DM, M (C)",20,"5'9""",0,"1,200",,30/6/2025,2684,Maidstone,Vanarama National League South,1,50,90%,52.0,76.0,7.58,12.81,4.19,0.0,4.19,7.58,1.81,4.19,1.91,52.0
29234484,Jack Smith,"DM, M (C)",22,"6'1""",0,625,,30/6/2026,3144,Dartford,Vanarama National League South,1,51,90%,50.0,83.0,7.8,12.68,4.35,0.0,4.35,7.8,2.55,4.35,1.75,50.0
90012441,Alex Kenyon,"D (C), DM, M (C)",31,"5'11""",0,450,,30/6/2025,4403,Curzon Ashton,Vanarama National League North,1,46,85%,50.0,79.0,6.91,8.75,4.6,0.0,4.6,6.91,2.35,4.6,2.45,50.0
29152568,Ben Liddle,M (C),25,"5'7""",0,525,,30/6/2024,3950,Darlington,Vanarama National League North,1,49,85%,50.0,78.0,12.15,7.27,4.88,0.0,4.88,12.15,1.39,4.88,2.53,50.0
28116915,Bivesh Gurung,"DM, M (C)",22,"6'0""",0,400,,30/6/2024,1424,Maidstone,Vanarama National League South,1,50,89%,49.0,76.0,9.29,10.11,4.3,0.0,4.3,9.29,2.02,4.3,2.91,49.0
29005307,Joe Partington,"D (RC), DM",34,"6'2""",0,650,,30/6/2025,3288,St. Albans,Vanarama National League South,1,50,87%,49.0,79.0,7.64,11.66,4.38,0.0,4.38,7.64,1.53,4.38,2.74,49.0
29210000,Matty Williams,D (C),23,"6'3""",0,350,,30/6/2024,1324,Chester,Vanarama National League North,1,47,87%,48.0,82.0,7.76,11.76,5.44,0.0,5.44,7.76,1.22,5.44,4.15,48.0
29178502,Daniel Martin,D/WB (L),24,"5'8""",0,575,,30/6/2024,2203,Torquay,Vanarama National League South,1,52,84%,48.0,88.0,12.68,11.77,4.62,0.0,4.62,12.68,2.41,4.62,3.06,48.0
2000144017,Marshall Burke,"DM, M (C)",19,"6'0""",0,575,,30/6/2025,4021,South Shields,Vanarama National League North,1,50,88%,48.0,76.0,11.57,6.36,5.22,0.0,5.22,11.57,1.16,5.22,2.19,48.0
28100985,Ollie Shenton,M/AM (C),26,"5'9""",0,575,,30/6/2024,3861,Chorley,Vanarama National League North,1,59,88%,48.0,76.0,13.13,6.71,5.1,0.0,5.1,13.13,1.24,5.1,1.61,48.0
29128950,Jordan Richards,"DM, M (C)",26,"5'11""",0,475,,30/6/2024,2875,Boston Utd,Vanarama National League North,1,58,89%,48.0,76.0,7.68,8.55,5.1,0.0,5.1,7.68,1.94,5.1,2.16,48.0
28085969,George Glendon,M (C),29,"5'10""",0,875,,30/6/2024,4365,Chester,Vanarama National League North,1,47,89%,47.0,84.0,7.76,7.77,4.66,0.0,4.66,7.76,2.33,4.66,2.49,47.0
29235189,Keziah Martin,M (C),24,"5'10""",0,425,,30/6/2025,1621,Boston Utd,Vanarama National League North,1,58,87%,47.0,77.0,11.76,8.44,8.0,0.0,8.0,11.76,1.89,8.0,2.39,47.0
28059635,David Morgan,"DM, M (C)",29,"5'8""",0,475,,30/6/2024,3833,Southport,Vanarama National League North,1,50,86%,46.0,72.0,7.49,7.87,4.58,0.0,4.58,7.49,2.23,4.58,1.95,46.0
