UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
29223285,Adam Porter,"DM, M (C)",22,"5'8""",0,350,,30/6/2025,4026,Truro,Vanarama National League South,1,48,88.0,38.0,79.0,7.1,11.78,4.16,0.0,4.16,7.1,2.24,4.16,1.43,38.0
29091033,Dan Lawlor,"DM, M (C)",29,"5'10""",0,400,,30/6/2024,3822,Peterborough Sports,Vanarama National League North,1,47,86.0,38.0,72.0,10.67,9.02,5.58,0.0,5.58,10.67,2.68,5.58,1.32,38.0
2000137611,Luke Woolston,"DM, M (C)",19,"5'10""",0,"1,200",,30/6/2025,1677,Spennymoor,Vanarama National League North,1,46,86.0,38.0,69.0,7.0,8.16,5.21,0.0,5.21,7.0,1.93,5.21,1.29,38.0
28121312,Sam Packham,D (R),22,"5'10""",0,600,,30/6/2024,4090,Worthing,Vanarama National League South,1,50,84.0,37.0,84.0,11.0,14.72,5.48,0.0,5.48,11.0,1.98,5.48,1.78,37.0
29194266,Alfie Bates,"DM, M (C)",23,"5'7""",0,825,,30/6/2024,4233,Brackley,Vanarama National League North,1,45,85.0,37.0,76.0,8.89,8.19,5.02,0.0,5.02,8.89,1.98,5.02,1.42,37.0
29113880,Alex Purver,"DM, M (C)",28,"5'10""",0,675,,30/6/2026,3673,Scarborough Athletic,Vanarama National League North,1,50,87.0,35.0,74.0,7.89,9.92,5.61,0.0,5.61,7.89,2.74,5.61,1.74,35.0
29036351,Will Hatfield,"DM, M (C)",32,"5'8""",0,575,,30/6/2025,3801,Darlington,Vanarama National League North,1,49,86.0,34.0,75.0,9.6,8.45,4.88,0.0,4.88,9.6,2.39,4.88,1.21,34.0
28049717,Lawson D'Ath,M (C),31,"5'9""",0,325,,30/6/2025,3358,Banbury,Vanarama National League North,1,44,85.0,32.0,76.0,8.97,5.39,4.1,0.0,4.1,8.97,1.55,4.1,1.10,32.0
29155387,Joe Re,"DM, M (C)",25,"5'7""",0,0,,-,1439,Hemel Hempstead,Vanarama National League South,1,46,86.0,29.0,70.0,10.78,6.32,4.07,0.0,4.07,10.78,1.75,4.07,1.31,29.0
28059684,Elliott Whitehouse,M (C),30,"5'11""",0,575,,30/6/2024,1364,Chester,Vanarama National League North,1,47,88.0,29.0,82.0,8.23,8.45,5.08,0.0,5.08,8.23,3.1,5.08,1.12,29.0
28094022,Alex Wiles,M (C),27,"5'8""",0,400,,30/6/2025,1347,Scarborough Athletic,Vanarama National League North,1,50,86.0,27.0,67.0,8.49,8.69,6.15,0.0,6.15,8.49,2.34,6.15,1.27,27.0
29233762,Sam Leverett,M (C),21,"5'9""",0,170,,30/6/2025,1144,Farsley,Vanarama National League North,1,46,86.0,20.0,88.0,7.95,6.92,4.56,0.0,4.56,7.95,2.2,4.56,0.94,20.0
29085674,Lewis Maloney,"DM, M (C)",29,"5'8""",0,650,,30/6/2026,4354,Scarborough Athletic,Vanarama National League North,1,50,90.0,20.0,76.0,10.27,7.67,4.42,0.0,4.42,10.27,2.07,4.42,0.56,20.0
2000124632,Jean Claude Makiessi,"DM, M (C)",19,"5'8""",0,900,,30/6/2026,3231,Gloucester,Vanarama National League North,1,47,88.0,20.0,71.0,6.89,7.49,4.23,0.0,4.23,6.89,2.09,4.23,0.70,20.0
