UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
28059684,Elliott Whitehouse,M (C),30,"5'11""",0,575,,30/6/2024,1364,Chester,Vanarama National League North,1,47,88.0,29.0,82.0,8.23,8.45,82.0,88.0,1.58,0.0,1.58,0.11,1.25,21%
2000275749,Ade Adeyemo,"AM (RL), ST (C)",25,"6'0""",0,575,,30/6/2025,1022,Welling,Vanarama National League South,1,46,86.0,29.0,90.0,18.57,3.79,90.0,86.0,1.5,0.0,1.5,0.07,0.79,44%
29139358,Darren Foxley,AM (RL),27,"5'10""",0,350,,30/6/2024,3851,Bishop's Stortford,Vanarama National League North,1,50,83.0,29.0,87.0,14.82,7.41,87.0,83.0,3.53,0.07,3.53,0.24,1.40,37%
29234751,Will Bapaga,AM (L),21,"5'9""",0,0,,-,1333,Buxton,Vanarama National League North,1,48,81.0,28.0,84.0,12.98,8.64,84.0,81.0,2.94,0.22999999999999998,2.94,0.23,3.78,36%
2000058334,Ben Acquaye,AM (L),24,"5'10""",0,575,,30/6/2025,3871,Tamworth,Vanarama National League North,1,51,87.0,28.0,87.0,13.63,7.23,87.0,87.0,3.56,0.04999999999999999,3.56,0.2,2.07,45%
29217667,Will McGowan,"DM, M/AM (C)",21,"5'7""",0,525,,30/6/2025,3551,Blyth,Vanarama National League North,1,64,91.0,28.0,79.0,13.83,6.51,79.0,91.0,6.14,0.0,6.14,0.14,0.84,36%
29176532,Keaton Ward,M/AM (C),24,"6'0""",0,400,,30/6/2025,2346,Boston Utd,Vanarama National League North,1,58,86.0,27.0,81.0,13.38,6.52,81.0,86.0,4.14,0.0,4.14,0.24,1.73,49%
2000045440,Jakub Niemczyk,"AM (L), ST (C)",20,"5'10""",0,500,,30/6/2025,1115,Bath City,Vanarama National League South,1,50,84.0,27.0,74.0,16.14,3.39,74.0,84.0,1.94,0.0,1.94,0.11,2.02,48%
29066606,Jacob Hazel,ST (C),30,"5'11""",0,350,,30/6/2025,1553,Boston Utd,Vanarama National League North,1,58,89.0,27.0,68.0,10.93,4.35,68.0,89.0,2.92,0.030000000000000027,2.92,0.23,2.26,36%
28067664,JJ Hooper,ST (C),30,"6'1""",0,650,,30/6/2025,4817,Blyth,Vanarama National League North,1,64,90.0,27.0,76.0,12.79,3.1,76.0,90.0,4.76,0.0,4.76,0.09,2.22,48%
2000277659,David Ogbonna,AM (R),19,"6'0""",0,325,,30/5/2025,3069,Slough,Vanarama National League South,1,50,84.0,26.0,81.0,20.73,3.55,81.0,84.0,2.73,0.0,2.73,0.19,1.50,49%
29072749,Rob Ramshaw,M/AM (C),30,"5'10""",0,650,,30/6/2025,4464,Spennymoor,Vanarama National League North,1,46,87.0,26.0,72.0,7.07,5.48,72.0,87.0,1.56,0.01999999999999999,1.56,0.13,1.33,33%
2000031615,Fedel Ross-Lang,M/AM (L),20,"5'8""",0,700,,30/6/2025,4006,Torquay,Vanarama National League South,1,52,84.0,26.0,78.0,14.57,5.26,78.0,84.0,2.61,0.0,2.61,0.28,1.62,42%
29103880,Danny Elliott,ST (C),28,"6'0""",0,675,,30/6/2025,1564,Scunthorpe,Vanarama National League North,1,64,86.0,26.0,87.0,19.65,5.81,87.0,86.0,15.14,0.020000000000000018,15.14,0.17,2.82,45%
29165173,Jason Law,AM (RC),25,"5'11""",0,700,,30/6/2025,2235,Scunthorpe,Vanarama National League North,1,64,89.0,26.0,81.0,17.4,4.91,81.0,89.0,11.01,0.0,11.01,0.11,1.21,47%
29175036,Dom Tear,AM (RL),24,"5'11""",0,300,,30/6/2024,1439,Scarborough Athletic,Vanarama National League North,1,50,86.0,26.0,79.0,13.82,8.88,79.0,86.0,3.69,0.04999999999999999,3.69,0.23,2.19,34%
28110963,Jordan Hickey,M (C),24,"5'10""",0,400,,30/6/2024,3243,Blyth,Vanarama National League North,1,64,91.0,26.0,81.0,18.69,6.3,81.0,91.0,8.49,0.09000000000000001,8.49,0.18,1.53,36%
2000137628,Ash McCarthy,AM (L),19,"5'9""",0,400,,30/6/2025,2134,Eastbourne Borough,Vanarama National League South,1,57,84.0,26.0,91.0,24.41,9.19,91.0,84.0,3.84,0.03,3.84,0.06,0.72,18%
29158345,Jordy Mongoy,AM (R),25,"5'9""",0,575,,30/6/2024,2408,South Shields,Vanarama National League North,1,50,86.0,25.0,81.0,17.53,7.33,81.0,86.0,2.95,0.0,2.95,0.23,1.38,57%
29085989,Ed Williams,AM (LC),28,"5'11""",0,350,,30/6/2024,3385,Chippenham,Vanarama National League South,1,51,85.0,25.0,84.0,18.3,6.54,84.0,85.0,1.76,0.0,1.76,0.06,0.98,38%
28106392,Tyreke Johnson,AM (L),25,"5'7""",0,350,,30/6/2024,3399,Chippenham,Vanarama National League South,1,51,86.0,24.0,76.0,18.94,4.16,76.0,86.0,2.34,0.08,2.34,0.1,1.40,36%
29188715,Matt Rush,ST (C),23,"5'10""",0,575,,30/6/2024,1785,Maidstone,Vanarama National League South,1,50,85.0,24.0,85.0,19.51,2.72,85.0,85.0,1.66,0.03,1.66,0.07,2.22,36%
29226256,Sam Pearson,M/AM (L),22,"5'11""",0,875,,30/6/2025,2115,Yeovil,Vanarama National League South,1,50,86.0,24.0,90.0,16.38,4.68,90.0,86.0,3.62,0.0,3.62,0.08,1.66,41%
33083658,Tope Fadahunsi,ST (C),24,"5'11""",0,575,,30/6/2024,1682,Torquay,Vanarama National League South,1,52,88.0,24.0,75.0,19.85,1.71,75.0,88.0,1.83,0.0,1.83,0.09,2.68,42%
29243911,Nana Boateng,M/AM (RL),21,"5'3""",0,700,,30/6/2025,3108,Farnborough,Vanarama National League South,1,51,83.0,24.0,82.0,14.02,4.72,82.0,83.0,2.65,0.0,2.65,0.11,0.61,43%
29159367,Kyle Finn,"M (R), AM (RLC)",25,"5'10""",0,230,,30/6/2024,4425,Tamworth,Vanarama National League North,1,51,83.0,24.0,90.0,16.73,6.02,90.0,83.0,3.85,0.03,3.85,0.29,1.55,49%
29191982,Lewis Collins,AM (R),23,"5'10""",0,"1,100",,30/6/2027,2087,Torquay,Vanarama National League South,1,52,86.0,24.0,83.0,13.48,4.44,83.0,86.0,2.23,0.0,2.23,0.17,1.98,46%
89017853,Dayle Grubb,"M (L), AM (LC)",32,"5'10""",0,500,,30/6/2025,3954,Weston-super-Mare,Vanarama National League South,1,50,85.0,24.0,86.0,15.68,5.96,86.0,85.0,1.8,0.0,1.8,0.38,1.73,36%
29007514,Sam Osborne,M/AM (RL),25,"5'10""",0,525,,30/6/2024,1117,Buxton,Vanarama National League North,1,48,87.0,22.0,88.0,9.98,6.28,88.0,87.0,2.45,0.0,2.45,0.08,1.85,61%
28127320,Tarrelle Whittaker,"AM (R), ST (C)",21,"5'7""",0,600,,30/6/2025,3129,Hemel Hempstead,Vanarama National League South,1,46,87.0,22.0,78.0,13.14,4.2,78.0,87.0,1.53,0.0,1.53,0.14,2.10,47%
89019879,Sean Shields,M/AM (L),32,"5'10""",0,350,,-,3095,Tonbridge,Vanarama National League South,1,48,84.0,22.0,90.0,20.76,4.68,90.0,84.0,1.67,0.0,1.67,0.22,1.60,40%
28122160,Harry Pinchard,"M (C), AM (L)",22,"5'9""",0,475,,30/6/2025,3542,Gloucester,Vanarama National League North,1,47,85.0,22.0,86.0,11.87,6.2,86.0,85.0,1.71,0.05,1.71,0.21,1.63,42%
2000028012,Jack Hazlehurst,M/AM (C),24,"5'7""",0,230,,30/6/2024,1121,Chorley,Vanarama National League North,1,59,90.0,22.0,73.0,15.29,6.42,73.0,90.0,2.37,0.0,2.37,0.19,1.12,50%
94055335,Solomon Wanjau-Smith,"AM (L), ST (C)",25,"5'8""",0,850,,30/6/2024,2435,Maidstone,Vanarama National League South,1,50,86.0,22.0,80.0,23.58,3.81,80.0,86.0,2.33,0.0,2.33,0.09,1.33,42%
29242535,Nicky Gyimah,AM (RL),21,"5'10""",0,875,,30/6/2026,4340,Havant & W,Vanarama National League South,1,48,85.0,21.0,85.0,16.98,5.83,85.0,85.0,2.24,0.0,2.24,0.16,1.72,40%
2000224395,Cole Fleming,AM (RL),18,"6'1""",0,950,,30/6/2025,1350,Truro,Vanarama National League South,1,48,85.0,21.0,90.0,15.23,5.27,90.0,85.0,2.3,0.10999999999999999,2.3,0.24,1.93,41%
