UID,Name,Pas %,xA/90,Poss Lost/90
28127320,Tarrelle Whittaker,87%,0.14,15.33
29199240,Johl Powell,84%,0.14,17.21
89019879,Sean Shields,84%,0.22,22.45
28122160,Harry Pinchard,85%,0.21,13.34
29151103,Taylor Maloney,87%,0.2,15.43
2000028012,Jack Hazlehurst,90%,0.19,10.28
94055335,Solomon Wanjau-Smith,86%,0.09,23.58
2000192184,Kennedy Mupomba,83%,0.14,21.03
94051916,Jason Cowley,86%,0.09,6.05
29242535,Nicky Gyimah,85%,0.16,18.37
28029485,Sam Mantom,89%,0.09,7.28
2000224395,Cole Fleming,85%,0.24,16.47
29045450,Matt McClure,87%,0.13,18.32
29158800,Jordan Young,86%,0.15,15.07
29217235,Connor Shanks,84%,0.26,15.53
2000137499,Morgan Wigley,83%,0.21,15.18
28127130,Ethan Fitzhugh,83%,0.2,13.69
28099482,Andrew Nelson,87%,0.06,6.25
48043754,Dylan Fage,86%,0.2,18.5
28127061,Ludwig Francillette,83%,0.05,4.73
5102897,Mark Marshall,88%,0.16,17.46
30031451,Danny Newton,88%,0.11,7.63
29131412,Dion Sembie-Ferris,85%,0.21,13.86
89054430,Gabby Rogers,83%,0.22,14.68
29233762,Sam Leverett,86%,0.1,9.28
29085674,Lewis Maloney,90%,0.19,10.27
2000106507,Charlie Davis,89%,0.1,12.08
2000139200,Aaron Blair,87%,0.09,22.6
28095353,Dominic McHale,87%,0.17,8.55
2000124632,Jean Claude Makiessi,88%,0.07,7.74
29156806,Liam Waldock,83%,0.15,12.06
29191699,Jordan Stevens,87%,0.15,19.52
2000109166,Brad Williams,82%,0.21,14.96
28105524,Jack Clarke,85%,0.14,18.95
31052927,Leone Gravata,83%,0.14,20.33
2000103932,Josh Castiglione,85%,0.24,14.7
28127127,Oli Ewing,89%,0.08,5.56
29177672,Jordan Ponticelli,86%,0.15,5.57
2000306375,Kian Ryley,84%,0.13,10.9
29240055,Will Trueman,84%,0.12,7.76
29162659,Mitchell Curry,89%,0.1,8.04
2000106512,Bogdan Marian,85%,0.16,18.76
29146562,Ogo Obi,86%,0.14,22.05
2000139853,Freddie Hockey,86%,0.11,14.72
90063181,Ben Stephens,88%,0.1,8.48
29218026,Harry Green,87%,0.31,13.54
28061259,Scott Wilson,87%,0.1,17.27
29156567,Josh McCammon,85%,0.16,7.79
90094244,Lewis Salmon,85%,0.17,11.58
29194059,George Alexander,85%,0.08,17.49
2000146813,Theo Alexandrou,87%,0.13,11.26
2000120902,Lucias Vine,85%,0.12,17.4
28070578,Alex Bray,88%,0.11,19.36
30031156,Danny Lloyd,86%,0.22,11.1
2000166560,Luther Munakandafa,88%,0.08,18.94
2000216758,Jamal Ibrahim,89%,0.07,19.88
29224247,Corey McKeown,86%,0.26,14.76
2000110089,Pharrell Brown,86%,0.13,12.51
2000140661,Hakeem Sandah,84%,0.18,7.34
29236669,Cameron Wilson,88%,0.2,13.93
29174102,Alfie Beestin,90%,0.15,9.19
28127532,Sonny Lo-Everton,86%,0.33,15.09
2000147443,Gabriel Overton,87%,0.17,8.4
29068440,Michael Clunan,87%,0.11,7.25
61071573,Justin Johnson,88%,0.23,12.8
28109889,Aidan Barlow,85%,0.14,20.65
90057559,Alex Newby,85%,0.2,15.24
28101029,Decarrey Sheriff,86%,0.08,20.57
29160424,Luke Burgess,84%,0.1,9.81
90091794,Paul Blackett,90%,0.03,6.06
29107386,Diego De Girolamo,87%,0.19,6.54
2000124647,Josiah Dyer,89%,0.09,7.04
2000101649,Aman Panesar,89%,0.05,6.3
89007828,Tom Broadbent,82%,0.05,10.84
2000022092,Marcel Campbell,87%,0.15,9.19
28122210,Dempsey Arlott-John,88%,0.25,11.7
28091360,Cal Roberts,86%,0.15,14.99
2000124630,Charlie Hickingbottom,81%,0.06,9.23
2000044538,Lebrun Mbeka,85%,0.05,8.53
29189397,Max Ram,86%,0.08,11.67
2000139665,Olly Evans,82%,0.07,10.86
28047246,Matt Urwin,83%,0.0,5.26
52100897,Sean Callan,87%,0.02,5.47
90043947,Jake Lawlor,82%,0.04,9.6
